,Feature_Age,Label_Option,Feature_Average_income,Feature_Employed_No,Feature_Employed_Yes,Feature_Cashback_spending_Apply to statement balance,Feature_Cashback_spending_Redeem as cash,Feature_Cashback_spending_Use to purchase gift cards,"Feature_Most_expense_Eating out (restaurants, coffee, etc.)","Feature_Most_expense_Entertainment (movies, shows, concerts, etc.)",Feature_Most_expense_Groceries/day-to-day needs,Feature_Most_expense_Other,"Feature_Most_expense_Transportation (Uber, buses, train, subway)",Feature_Most_expense_Travel,Feature_Education_level_Graduate (Masters),Feature_Education_level_Other,Feature_Education_level_Undergraduate
2,2.2,0,1.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
4,2.2,1,1.2,0,1,0,1,0,0,0,1,0,0,0,1,0,0
5,2.4,1,0.95,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6,2.3,1,0.7,0,1,0,0,0,0,0,0,1,0,0,1,0,0
7,2.2,1,1.3,0,1,1,0,0,1,0,0,0,0,0,1,0,0
8,2.2,0,0.8,1,0,1,0,0,0,0,1,0,0,0,1,0,0
9,2.2,1,0.88,1,0,1,0,0,1,0,0,0,0,0,1,0,0
10,2.3,1,0.8,1,0,1,0,0,0,0,0,0,0,1,1,0,0
11,2.4,1,1.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
12,2.3,0,1.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
13,2.3,1,0.8,1,0,0,1,0,1,0,0,0,0,0,1,0,0
14,2.2,1,0.5,0,1,1,0,0,1,0,0,0,0,0,1,0,0
15,2.2,0,0.65,0,1,1,0,0,1,0,0,0,0,0,1,0,0
16,2.3,1,1.5,1,0,0,1,0,1,0,0,0,0,0,1,0,0
17,2.1,0,0.6,0,1,0,1,0,1,0,0,0,0,0,0,1,0
18,2.3,0,1.5,0,1,0,0,1,0,1,0,0,0,0,1,0,0
19,2.3,0,2.5,1,0,0,1,0,0,0,1,0,0,0,1,0,0
20,2.1,1,2.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
22,3.2,1,4.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
24,2.3,0,0.75,1,0,1,0,0,0,0,0,0,1,0,1,0,0
25,2.4,0,0.75,1,0,1,0,0,0,0,1,0,0,0,1,0,0
29,2.5,1,0.2,1,0,0,1,0,0,0,1,0,0,0,1,0,0
30,2.3,0,1.3,1,0,0,1,0,0,1,0,0,0,0,1,0,0
31,2.2,1,1.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
32,1.9,1,0.8,1,0,0,0,1,1,0,0,0,0,0,0,0,1
33,2.1,1,0.5,1,0,1,0,0,1,0,0,0,0,0,0,0,1
34,2.1,0,5.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
35,2.1,1,2.2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
36,2.2,0,0.7,0,1,0,1,0,0,0,1,0,0,0,0,0,1
37,2.2,1,2.5,0,1,0,1,0,1,0,0,0,0,0,0,1,0
38,2.3,0,1.5,1,0,1,0,0,1,0,0,0,0,0,1,0,0
39,2.1,1,5.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
40,2.2,1,1.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
41,1.8,1,1.5,0,1,1,0,0,1,0,0,0,0,0,0,0,1
42,2.0,1,2.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
43,2.4,0,2.5,0,1,1,0,0,0,0,1,0,0,0,1,0,0
44,2.2,1,1.8,0,1,1,0,0,1,0,0,0,0,0,1,0,0
45,1.9,1,0.8,0,1,0,1,0,0,0,1,0,0,0,0,0,1
46,2.2,0,1.5,0,1,0,1,0,1,0,0,0,0,0,1,0,0
